Family,Genus,species,sub.species,binomial,other.genera,other.species,other.names.sub.species,Source.of.taxonomy information,notes.on.taxonomy,Sexual.System,Karyotype,notes..Karyotype,Predicted.ploidy,female2N,male2N,notesMale2N,notes..comments,cite.key,,,,,,
Lycaenidae,Poritia,hewitsoni,,Poritia hewitsoni,,,,GBIF,Accepted,,,,,,38,,,"Abe, A. and Abe, R., 2009.A chromosome survey of nine species of Poritiinae (Lepidoptera, Lycaenidae) from Malaysia. The Transactions of the Lepidopterological Scociety of Japan, 60(3), pp.211-221. ",,,,,,
Lycaenidae,Poritia,phormedon,,Poritia phormedon,,,,GBIF,Accepted,,,,,,34,,,"Abe, A. and Abe, R., 2009.A chromosome survey of nine species of Poritiinae (Lepidoptera, Lycaenidae) from Malaysia. The Transactions of the Lepidopterological Scociety of Japan, 60(3), pp.211-221. ",,,,,,
Lycaenidae,Poritia,promula,,Poritia promula,,,,GBIF,Accepted,,,,,,32,,,"Abe, A. and Abe, R., 2009.A chromosome survey of nine species of Poritiinae (Lepidoptera, Lycaenidae) from Malaysia. The Transactions of the Lepidopterological Scociety of Japan, 60(3), pp.211-221. ",,,,,,
Lycaenidae,Poritia,sumatrae,,Poritia sumatrae,,,,GBIF,Accepted,,,,,,36,,,"Abe, A. and Abe, R., 2009.A chromosome survey of nine species of Poritiinae (Lepidoptera, Lycaenidae) from Malaysia. The Transactions of the Lepidopterological Scociety of Japan, 60(3), pp.211-221. ",,,,,,
Lycaenidae,Pseudophilotes,baton,,Pseudophilotes baton,Philotes,baton,,GBIF,Synonym,gonochorous,,,,,48,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Lycaenidae,Pseudophilotes,vicrama,,Pseudophilotes vicrama,Philotes,vicrama,,GBIF,Synonym,gonochorous,,,,,48,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Lycaenidae,Psychonotis,hymetus,,Psychonotis hymetus,Thysonotis,hymetus,taygetus,Lepindex,Synonym,,,,,,48,,,"Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.",,,,,,
Lycaenidae,Rapala,varuna,formosana,Rapala varuna formosana,,,,GBIF,Accepted,,,,,,48,,,"Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133.",,,,,,
Lycaenidae,Satyrium,pruni,,Satyrium pruni,Strymonidia,pruni,,GBIF,Synonym,,,,,,46,,,"Abe, A. and Kudoh, K., 2005. Chromosomes of seven species of Theclini, Lycaenidae (Lepidoptera). The Transactions of the Lepidopterological Scociety of Japan, 56(2), pp.122-130. ",,,,,,
Lycaenidae,Satyrium,pruni,,Satyrium pruni,Thecla,pruni,,GBIF,Synonym,,,,,,46,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Lycaenidae,Scolitantides,orion,,Scolitantides orion,,,,GBIF,Accepted,gonochorous,,,,,46,,,"Lorkovi?, Z., 1941. Die chromosomenzahlen in der spermatogenese der tagfalter. Zeitschrift für Zellforschung und Mikroskopische Anatomie Abt. B Chromosoma, 2(1), pp.155-191.",,,,,,
Lycaenidae,Shirozua,jonasi,,Shirozua jonasi,,,,GBIF,Accepted,,,,,,42,,,"Abe, A. and Kudoh, K., 2005. Chromosomes of seven species of Theclini, Lycaenidae (Lepidoptera). The Transactions of the Lepidopterological Scociety of Japan, 56(2), pp.122-130. ",,,,,,
Lycaenidae,Simiskina,pharyge,,Simiskina pharyge,,,,,,,,,,,,72-74,The original article shows this butterfly as Sumiskina pharyge which seems to be a typo,"Abe, A. and Abe, R., 2009.A chromosome survey of nine species of Poritiinae (Lepidoptera, Lycaenidae) from Malaysia. The Transactions of the Lepidopterological Scociety of Japan, 60(3), pp.211-221. ",,,,,,
Lycaenidae,Strymon,astiocha,,Strymon astiocha,,,,,,,,,,,48,,,"Brown Jr, K.S., von Schoultz, B., Saura, A.O. and Saura, A., 2012. Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea).†hereditas,†149(4), pp.128-138.",,,,,,
Lycaenidae,Strymon,eurytulus,,Strymon eurytulus,,,,GBIF,Accepted,,,,,,48,,,"Brown Jr, K.S., von Schoultz, B., Saura, A.O. and Saura, A., 2012. Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea).†hereditas,†149(4), pp.128-138.",,,,,,
Lycaenidae,Strymon,melinus,,Strymon melinus,,,,GBIF,Accepted,gonochorous,,,,,48,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147.",,,,,,
Lycaenidae,Strymon,pruni,,Strymon pruni,,,,,,gonochorous,,,,,46,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Lycaenidae,Strymon,sylvinus,,Strymon sylvinus,Satyrium,sylvinus,,GBIF,Synonym,gonochorous,,,,,82,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147.",,,,,,
Lycaenidae,Surendra,vivarna,,Surendra vivarna,,,,GBIF,Accepted,,,,,,50,,,"Saitoh, K. & Abe, A. (1970). Chromosome studies in sixteen species of Himalayan butterflies (Nymphalidae and Lycaenidae). Special Bulletin of the Lepidopteran Society of Japan 4: 141–152.",,,,,,
Lycaenidae,Taraka,hamada,,Taraka hamada,,,,GBIF,Accepted,gonochorous,,,,,30,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147.",,,,,,
Lycaenidae,Tarucus,balcanicus,,Tarucus balcanicus,,,,GBIF,Accepted,gonochorous,,,,,48,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Lycaenidae,Thecla,betulae,,Thecla betulae,Zephyrus,betulae,,GBIF,Synonym,,,,,32,,,The original author assume that the chromosome number could not be lower than 14 and higher than 18 and assumes it is 16.,"Federley, H., 1938. CHROMOSOMENZAHLEN FINNLÄN?DISCHER LEPIDOPTEREN: I. RHOPALOCERA. Hereditas, 24(4), pp.397-464.",,,,,,
Lycaenidae,Thecla,coronata,,Thecla coronata,Evenus,coronata,,GBIF,Synonym,,,,,,48,,,"Brown Jr, K.S., von Schoultz, B., Saura, A.O. and Saura, A., 2012. Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea).†hereditas,†149(4), pp.128-138.",,,,,,
Lycaenidae,Thecla,francis,,Thecla francis,Contrafacia,francis,,GBIF,Synonym,,,,,,48,,,"Brown Jr, K.S., von Schoultz, B., Saura, A.O. and Saura, A., 2012. Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea).†hereditas,†149(4), pp.128-138.",,,,,,
Lycaenidae,Turanana,panagaea,,Turanana panagaea,,,,GBIF,Accepted,gonochorous,,,,,48,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Lycaenidae,Ussuriana,stygiana,,Ussuriana stygiana,,,,GBIF,Accepted,gonochorous,,,,,94,,,"Maeki, K. and Remington, C. L., 1960. Studies of the chromosomes of North American Rhopalocera. 3 Lycaenidae, Danainae, Satyrinae, Morphinae.J. Lepid. Soc.,14, pp.127-147.",,,,,,
Lycaenidae,Vacciniina,hyrcana,,Vacciniina hyrcana,,,,,,gonochorous,,,,,44,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Lycaenidae,Vacciniina,sieversi,,Vacciniina sieversi,,,,,,gonochorous,,,,,44,,,"Lesse, D.H., 1960. Speciation et Variation cromosomiques chez les Lepidopteris Rhopaloceres. Annls Soc. nat. Zool., 12(2), pp.1-223.",,,,,,
Lycaenidae,Virachola,isocrates,,Virachola isocrates,,,,GBIF,Accepted,,,,,,38,,,"Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.",,,,,,
Lycaenidae,Zizeeria,mafia,argia,Zizeeria mafia argia,,,,,,,,,,,48,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Lycaenidae,Zizeeria,maha,argia,Zizeeria maha argia,,,,,,,,,,,48,,,"Maeki, K. and Makino, S., 1953. Chromosome numbers of some Japanese Rhopalocera.Lepid. news,7, pp.36-38.",,,,,,
Lycaenidae ,Polyommatus,yeranyani,,Polyommatus yeranyani,,,,,,,,,,,,158-160,,"Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85.",,,,,,
Lymantriidae,Cifuna,locuples,confusa,Cifuna locuples confusa,,,,GBIF,Accepted,,,,,,38,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Dicallomera,fascelina,,Dicallomera fascelina,,,,GBIF,Accepted,,,,,,32,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Gynaephora,rossi,daisetsuzana,Gynaephora rossi daisetsuzana,,,,GBIF,Accepted,,,,,,52,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Gynaephora,selenitica,,Gynaephora selenitica,,,,GBIF,Accepted,,,,,,44,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Laelia,caenosa,,Laelia caenosa,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Leucoma,salicis,,Leucoma salicis,Stilpnotia,salicis,,GBIF,Synonym,,,,,,60,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Lymantria,monacha,,Lymantria monacha,,,,GBIF,Accepted,,,,,,62,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Lymantriidae,Lymantria,obfuscata,,Lymantria obfuscata,,,,GBIF,Accepted,,,,,,62,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Orgyia,recens,,Orgyia recens,Orgyia,gonostigma,,GBIF,Synonym,,,,,,60,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Lymantriidae,Orgyia,trigontehras,,Orgyia trigontehras,,,,GBIF,Accepted,,,,,,58,,,"Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.",,,,,,
Micropterigidae,Micropterix,calthella,,Micropterix calthella,,,,GBIF,Accepted,gonochorous,ZO,,,57,58,,,traut2008sex,,,,,,
Noctuidae,Abrostola,aurifera,,Abrostola aurifera,,,,,,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Abrostola,confusa,,Abrostola confusa,,,,GBIF,Accepted,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Abrostola,festucae,,Abrostola festucae,,,,GBIF,Accepted,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Abrostola,gamma,,Abrostola gamma,,,,GBIF,Accepted,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Abrostola,nigrisigna,,Abrostola nigrisigna,,,,GBIF,Accepted,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Abrostola,triplasia,,Abrostola triplasia,Abrostola,trigemina,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Achaea,janata,,Achaea janata,,,,GBIF,Accepted,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Noctuidae,Acontia,intersepta,,Acontia intersepta,,,,,,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Noctuidae,Acontia,marmoralis,,Acontia marmoralis,Tarache,tropica,,Lepindex,Synonym,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Noctuidae,Acronicta,alni,,Acronicta alni,Apatele,alni,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Acronicta,intermedia,,Acronicta intermedia,Apatele,incretata,,Lepindex,Synonym,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Noctuidae,Acronicta,psi,,Acronicta psi,Apatele,psi,,GBIF,Synonym,gonochorous,,,,,62,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Noctuidae,Acronicta,psi,,Acronicta psi,Acronycta,psi,,GBIF,Synonym,,,,,,62,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Noctuidae,Acronicta,psi,,Acronicta psi,Apatele,psi,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Acronicta,rumicis,,Acronicta rumicis,Pharetra,rumicis,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Acronicta Auricoma,,,Acronicta Auricoma ,Pharetra,auricoma,,Lepindex,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Acronycta,sp.,,Acronycta sp.,,,,Lepindex,Accepted,,,,,,58,,,"Cook, M.H., 1910. Spermatogenesis in lepidoptera. Proceedings of the Academy of Natural Sciences of Philadelphia, pp.294-327.",,,,,,
Noctuidae,Actinotia,polyodon,,Actinotia polyodon,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Adris,tyrannus,amurensis,Adris tyrannus amurensis,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Noctuidae,Aedia,funesta,,Aedia funesta,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Aedia,leucomelas,,Aedia leucomelas,Anophia,leucomelas,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrochola,circellaris,,Agrochola circellaris,,,,GBIF,Accepted,,,,,,60,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrochola,circellaris,,Agrochola circellaris,Orthosia,circellaris,,GBIF,Synonym,,,,,,60,,,"Beliajeff, N.K., 1930. Die Chromosomenkomplexe und ihre Beziehung zur Phylogenie bei den Lepidopteren. Zeitschrift für induktive Abstammungs-und Vererbungslehre, 54(1), pp.369-399.",,,,,,
Noctuidae,Agrochola,Iota,,Agrochola Iota,,,,Lepindex,Accepted,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Agrochola,litura,,Agrochola litura,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrochola,lota,,Agrochola lota,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrotis,exclamationis,,Agrotis exclamationis,Scotia,exclamationis,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrotis,ipsilon,,Agrotis ipsilon,Scotia,ipsilon,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrotis,puta,,Agrotis puta,Scotia,pura,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Agrotis,puta,,Agrotis puta,Scotia,puta,,GBIF,Synonym,,,,,,62,,,"Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.",,,,,,
Noctuidae,Agrotis,segetum,,Agrotis segetum,Scotia,segetum,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Amphipoea,burrowsi,,Amphipoea burrowsi,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Noctuidae,Amphipyra,perflua,,Amphipyra perflua,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Amphipyra,pyramidea,,Amphipyra pyramidea,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Amphipyra,tragopoginis,,Amphipyra tragopoginis,Amphipyra,tragopogonis,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Anaplectoides,prasina,,Anaplectoides prasina,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Anomis,privata,,Anomis privata,Anomis,commoda,,GBIF,Synonym,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Noctuidae,Anomis,sabulifera,,Anomis sabulifera,,,,GBIF,Accepted,,,,,,62,,,"Mohanty, P.K. and Nayak, B., 1983. Chromosome numbers of some Indian moths.Genetica,61(2), pp.147-149.",,,,,,
Noctuidae,Antitype,chi,,Antitype chi,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Apamea,monoglypha,,Apamea monoglypha,,,,GBIF,Accepted,gonochorous,,,,,58,,,"Bigger, T.R.L., 1961. Chromosome numbers of Lepidoptera. Part II. Entomologist's Gaz., 12, pp.85-89.",,,,,,
Noctuidae,Apamea,monoglypha,,Apamea monoglypha,,,,GBIF,Accepted,,,,,,58,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Arcte,coerulea,,Arcte coerulea,,,,GBIF,Accepted,gonochorous,,,,,62,,,Saitoh 1959a,,,,,,
Noctuidae,Arcte,coerulea,,Arcte coerulea,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Noctuidae,Arcte,coerulea,,Arcte coerulea,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Erebidae,Arcte,coerulea,,Arcte coerulea,,,,Lepindex,Accepted,,,,,,62,,,"Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.",,,,,,
Noctuidae,Argyrogramma,verruca,,Argyrogramma verruca,,,,GBIF,Accepted,,,,,,62,,,"Goodpasture, C., 1976. High-resolution chromosome analysis in Lepidoptera.Annals of the Entomological Society of America,69(4), pp.764-771.",,,,,,
Noctuidae,Autographa,aurifera,,Autographa aurifera,,,,,,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Autographa,gamma,,Autographa gamma,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Autographa,gestucae,,Autographa gestucae,,,,,,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Autographa,nigrisigma,,Autographa nigrisigma,,,,GBIF,Accepted,gonochorous,,,,,62,,,Saitoh 1959a,,,,,,
Noctuidae,Autographa,nigrisigna,,Autographa nigrisigna,,,,GBIF,Accepted,,,,,,62,,,"Saitoh, K., 1959. The chromosomes of some species of moths. The Japanese Journal of Genetics, 34(3), pp.84-87.",,,,,,
Noctuidae,Axylia,putris,,Axylia putris,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Bena,prasinana,,Bena prasinana,,,,GBIF,Accepted,,,,,,64,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Callistege,mi,,Callistege mi,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Calyptra,lata,,Calyptra lata,Calpe,aureola,,Lepindex,Synonym,,,,,,62,,,"Saitoh, K., 1960. A chromosome survey in thirty species of moths. The Japanese Journal of Genetics, 35(2), pp.41-48.",,,,,,
Noctuidae,Caradrina,gilva,,Caradrina gilva,Eremodrina,gilva,,GBIF,Synonym,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
Noctuidae,Caradrina,rebeli,,Caradrina rebeli,,,,GBIF,Accepted,,,,,,62,,,"Werner, L., 1975. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica, 45(3), pp.377-395.",,,,,,
